,ep,time,reward,cum_score,best_score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,states
502,502,5.0399999999999805,-246.8,-287.5936918990704,873.8999999999996,-2.300779035918322,5.058550077698172,57.01053505909371,-1.3378841634339733,-0.8864274759678633,9.306399870064844,"[-2.25227388  5.08834983 56.64441417  2.29211892  2.4024645   0.
 -2.274677    5.07520879 56.82630512  2.86792204  2.97930445  0.
 -2.30077904  5.05855008 57.01053506  3.44372089  3.55615271  0.        ]"
503,503,5.0399999999999805,-246.5,-287.5119946984758,873.8999999999996,-2.4926707670000603,-2.0640651273683575,56.6973179437436,-1.3560045733334858,-3.323555635847216,9.250390387859605,"[-2.44146672 -1.93543752 56.33386797  2.39609934  2.51529902  0.
 -2.46574408 -1.99825071 56.51427295  2.97258274  3.09218015  0.
 -2.49267077 -2.06406513 56.69731794  3.54906543  3.66910413  0.        ]"
504,504,5.0399999999999805,-246.7,-287.4310185185185,873.8999999999996,-2.401867204812398,4.614095527520912,56.90168165016476,-1.3675177811396901,1.8125491678715715,9.281779460180749,"[-2.35408007  4.53763943 56.53681281  2.38334745  2.28696693  0.
 -2.37564797  4.57717852 56.71801565  2.96003537  2.86372732  0.
 -2.4018672   4.61409553 56.90168165  3.53673122  3.4404383   0.        ]"
505,505,5.0399999999999805,-245.90000000000003,-287.3487788778878,873.8999999999996,-2.15095260441997,17.685907838691133,56.065373049670384,-1.3029387634692644,3.843038118701472,9.08290890857477,"[-2.10358491 17.52914067 55.70955548  2.45624295  2.43004393  0.
 -2.12545234 17.60870208 55.88586896  3.0326514   3.00713624  0.
 -2.1509526  17.68590784 56.06537305  3.60905513  3.58421323  0.        ]"
506,506,5.0399999999999805,-246.7,-287.2684453227932,873.8999999999996,-2.253742469939697,9.858741190257607,56.85393481844868,-1.3035685420920677,0.01649255825197117,9.289392396968463,"[-2.20437522  9.85336656 56.48941726  2.3784451   2.54315093  0.
 -2.22775217  9.85766319 56.67020202  2.95395036  3.12040647  0.
 -2.25374247  9.85874119 56.85393482  3.52947911  3.69770245  0.        ]"
507,507,5.0399999999999805,-246.39999999999998,-287.1878369493754,873.8999999999996,-2.39283356710491,-2.9763193669299377,56.607527432039454,-1.3244384786701187,-3.8572076931451775,9.266105526634608,"[-2.34187502 -2.82515705 56.24385805  2.47542991  2.57561029  0.
 -2.3662926  -2.89949222 56.42424407  3.05239953  3.15230512  0.
 -2.39283357 -2.97631937 56.60752743  3.62929806  3.72894668  0.        ]"
508,508,5.0399999999999805,-244.43333333333334,-287.1036745406824,873.8999999999996,-2.124720095170462,23.40879859218808,54.56650928394072,-1.2847923157107282,10.33705644749018,7.416723047257515,"[-2.08190544 22.99520129 54.27723385  2.52170969  2.20464667  0.
 -2.10057798 23.2023826  54.42037308  3.09779613  2.78094517  0.
 -2.1247201  23.40879859 54.56650928  3.67389802  3.35727483  0.        ]"
509,509,5.0399999999999805,-246.16666666666666,-287.0232481990831,873.8999999999996,-2.033766787258869,19.724926386511726,56.34531431465446,-1.2331526993749182,6.380449693052736,8.967904211900782,"[-1.98549698 19.47144202 55.99412091  2.78409985  2.65039966  0.
 -2.00874058 19.59825302 56.16781299  3.36146609  3.22854836  0.
 -2.03376679 19.72492639 56.34531431  3.93874541  3.80669342  0.        ]"
510,510,5.0399999999999805,-246.86666666666667,-286.94450980392156,873.8999999999996,-2.255279757572642,6.740604994679854,57.03976767826342,-1.3132646465912519,0.9621036611136533,9.479114074915888,"[-2.2056088   6.70101622 56.66806585  2.6156014   2.53393753  0.
 -2.22913452  6.72157081 56.85224238  3.19303367  3.11062202  0.
 -2.25527976  6.74060499 57.03976768  3.77051599  3.68736549  0.        ]"
511,511,5.0399999999999805,-246.23333333333335,-286.8648401826484,873.8999999999996,-2.347508188087084,-0.7376418876770147,56.422256409882344,-1.3353268294973293,-4.929015125277458,8.77619065817273,"[-2.29827754 -0.54713623 56.07644734  2.21363206  2.44060573  0.
 -2.32128992 -0.64039193 56.24843523  2.79060765  3.01699585  0.
 -2.34750819 -0.73764189 56.42225641  3.36761458  3.59337589  0.        ]"
512,512,5.0399999999999805,-245.83333333333331,-286.7847005208333,873.8999999999996,-2.4761899658706703,-8.582072065008528,56.001478766372124,-1.3368067257598002,-7.399033611633473,8.435246643737681,"[-2.42551063 -8.2925829  55.6690131   2.20899991  2.51704087  0.
 -2.44963291 -8.43535886 55.83440442  2.78426237  3.09380756  0.
 -2.47618997 -8.58207207 56.00147877  3.35948866  3.67062568  0.        ]"
513,513,5.0399999999999805,-246.59999999999997,-286.70636777128004,873.8999999999996,-2.128765825027995,-6.084755638750024,56.80009512398538,-1.308780162268709,-4.9808075034500545,9.09167370100088,"[-2.08117415 -5.8914092  56.44166582  2.25974534  2.39761543  0.
 -2.10323519 -5.98627406 56.61994997  2.83574125  2.97422011  0.
 -2.12876583 -6.08475564 56.80009512  3.41167986  3.55085036  0.        ]"
514,514,5.0399999999999805,-246.2,-286.62756160830094,873.8999999999996,-2.1213671960377165,15.173533897394453,56.372605908769835,-1.3033295967189162,3.765130945507365,9.097227913657397,"[-2.07456849 15.01909751 56.01606168  2.39750423  2.39628534  0.
 -2.096005   15.09765952 56.192821    2.97390468  2.97380719  0.
 -2.1213672  15.1735339  56.37260591  3.55037079  3.55134806  0.        ]"
515,515,5.0399999999999805,-246.23333333333335,-286.5491262135923,873.8999999999996,-2.4706070965038065,-6.704748413873598,56.39645585147587,-1.3298580035225187,-6.1306140626022385,8.79374272270947,"[-2.41932233 -6.46506715 56.05058285  2.29700342  2.57797064  0.
 -2.44394571 -6.5831209  56.22241414  2.87336045  3.15547885  0.
 -2.4706071  -6.70474841 56.39645585  3.44976056  3.73298154  0.        ]"
516,516,5.0399999999999805,-244.0666666666667,-286.4667958656331,873.8999999999996,-2.2458021119094997,26.017105175578823,54.195458632029144,-1.295406207318913,11.059942117586207,7.278071446724795,"[-2.20073559 25.57640714 53.91180318  2.65747866  2.31123858  0.
 -2.22095256 25.79675439 54.05195818  3.23329768  2.88714232  0.
 -2.24580211 26.01710518 54.19545863  3.80916334  3.46305655  0.        ]"
517,517,5.0399999999999805,-246.39999999999998,-286.38929722759514,873.8999999999996,-2.48108710122579,-2.880177452806092,56.58638961557673,-1.3500219100055268,-3.5649650118726277,9.256508579288129,"[-2.42974946 -2.74119359 56.2228994   2.44289917  2.53700945  0.
 -2.45419416 -2.80933879 56.40325948  3.01940715  3.11335056  0.
 -2.4810871  -2.88017745 56.58638962  3.59586796  3.68966894  0.        ]"
518,518,5.0399999999999805,-244.96666666666664,-286.3093307593308,873.8999999999996,-2.1266438867774786,23.131316989385425,55.12539549661613,-1.2919133496016424,7.63998189447994,8.414209175793916,"[-2.08177569 22.82431755 54.79639448  2.50121267  2.30973938  0.
 -2.10188393 22.97855205 54.95930629  3.0780697   2.88650208  0.
 -2.12664389 23.13131699 55.1253955   3.65493487  3.46320237  0.        ]"
519,519,5.0399999999999805,-246.9,-286.2333975594092,873.8999999999996,-2.2713477873585544,8.633861761713467,57.077043277055466,-1.333078235943475,2.897672241927835,9.313721856321157,"[-2.2231091   8.5158845  56.71166154  2.52815677  2.40175822  0.
 -2.24534672  8.57580961 56.89281694  3.10521939  2.97833836  0.
 -2.27134779  8.63386176 57.07704328  3.68228454  3.55489485  0.        ]"
520,520,5.0399999999999805,-245.46666666666667,-286.1550000000001,873.8999999999996,-2.3727435580793017,18.056182475822364,55.627608931990935,-1.337294239038403,6.97714493542091,8.5417740271737,"[-2.32642331 17.7754928  55.29324957  2.49374731  2.28459984  0.
 -2.34717403 17.9166052  55.45892104  3.07066682  2.86125967  0.
 -2.37274356 18.05618248 55.62760893  3.64756056  3.43784288  0.        ]"
521,521,5.0399999999999805,-246.7,-286.0792706333974,873.8999999999996,-2.326182688484399,9.53960902376239,56.88506410084128,-1.3445227704122003,3.376275720998802,9.203909785387491,"[-2.27863427  9.40175594 56.52387219  2.46213146  2.33378949  0.
 -2.3002392   9.47175629 56.70304171  3.03959851  2.91019106  0.
 -2.32618269  9.53960902 56.8850641   3.61705086  3.48658271  0.        ]"
522,522,5.0399999999999805,-246.46666666666664,-286.00338441890176,873.8999999999996,-2.121834701016948,14.295288834886545,56.64927814725795,-1.3023407054741647,4.577755629613382,9.079504592244366,"[-2.0751763  14.11003719 56.29342915  2.50456654  2.3861836   0.
 -2.09652482 14.20360648 56.46978654  3.08123198  2.96195567  0.
 -2.1218347  14.29528883 56.64927815  3.65787777  3.53767457  0.        ]"
523,523,5.0399999999999805,-246.39999999999998,-285.9276609305291,873.8999999999996,-2.4235796589355023,-2.7594892322846527,56.600087795856595,-1.3610562318739063,-3.1333887468663417,9.276528825708162,"[-2.3734888  -2.63899185 56.23520303  2.35199468  2.43256237  0.
 -2.39687891 -2.6976495  56.41645031  2.9287271   3.010374    0.
 -2.42357966 -2.75948923 56.6000878   3.50547211  3.58820925  0.        ]"
524,524,5.0399999999999805,-246.53333333333336,-285.85248091603063,873.8999999999996,-2.3799162549083985,-2.281192659070837,56.72615414844128,-1.3619679643319536,-2.1574586853495954,9.275865421623667,"[-2.33237627 -2.20062563 56.36033614  2.25818469  2.26913123  0.
 -2.35384201 -2.2392055  56.54234818  2.83445356  2.84533149  0.
 -2.37991625 -2.28119266 56.72615415  3.4107021   3.42154471  0.        ]"
525,525,5.0399999999999805,-245.53333333333333,-285.7756825396826,873.8999999999996,-2.094825480974192,20.09176818083802,55.70912452605525,-1.2962320914486858,5.6900027985615775,8.80914074559056,"[-2.04966127 19.86154478 55.36403789  2.44495606  2.31451255  0.
 -2.06995359 19.97767565 55.53509326  3.02144889  2.89069419  0.
 -2.09482548 20.09176818 55.70912453  3.59789572  3.46682058  0.        ]"
526,526,5.0399999999999805,-246.8,-285.70158428390374,873.8999999999996,-2.3673479577515333,8.186021974204195,56.989094359915576,-1.3255306115145111,1.1738072823447565,9.452905868856705,"[-2.31703569  8.13669274 56.61841013  2.53140329  2.54546932  0.
 -2.34090804  8.16241922 56.80210936  3.10772075  3.12262314  0.
 -2.36734796  8.18602197 56.98909436  3.68404431  3.69972276  0.        ]"
527,527,5.0399999999999805,-244.43333333333334,-285.62327640733713,873.8999999999996,-2.4691143798360926,-18.08245616397449,54.59128610151268,-1.29070896764288,-11.57078130020805,7.310548405079193,"[ -2.41854048 -17.62534749  54.30354768   2.1939823    2.6105095
   0.          -2.44311199 -17.85212308  54.44669639   2.76956886
   3.18803445   0.          -2.46911438 -18.08245616  54.5912861
   3.345146     3.76553083   0.        ]"
528,528,5.0399999999999805,-246.0,-285.54823232323236,873.8999999999996,-2.353869607692593,-8.424762859914319,56.15886686437325,-1.2650449785475373,-7.981625185136368,8.375748538479264,"[-2.30297931 -8.10954954 55.83039868  2.3802887   2.7070114   0.
 -2.32796103 -8.26568802 55.99336108  2.95754529  3.28425879  0.
 -2.35386961 -8.42476286 56.15886686  3.53479198  3.86152032  0.        ]"
529,529,5.0399999999999805,-247.3,-285.47592942659105,873.8999999999996,-2.044090529191956,5.915500240603641,57.49283377957302,-1.2814776371761287,0.1858326015070049,9.513479278461517,"[-1.99615542  5.90456343 57.11940189  2.45458212  2.50662021  0.
 -2.0186892   5.91134564 57.30460687  3.03090113  3.08440697  0.
 -2.04409053  5.91550024 57.49283378  3.60723828  3.66221447  0.        ]"
530,530,5.0399999999999805,-241.29999999999995,-285.3925786163522,873.8999999999996,-2.170065855431817,31.090290720476006,51.31381664703422,-0.3307358499859564,11.019892581493957,1.6902278037032337,"[-2.14922864 30.65084184 51.25550211  2.65432764  3.70922653  0.
 -2.16176643 30.87082098 51.28251499  3.23211752  3.49600899  0.
 -2.17006586 31.09029072 51.31381665  3.80986776  3.14444933  0.        ]"
531,531,5.0399999999999805,-245.7,-285.317827997489,873.8999999999996,-2.2194001691443015,17.587897878386098,55.87068995849471,-1.3142554601049696,7.029454782884894,8.504624252064025,"[-2.17485748 17.30532956 55.53751001  2.49855777  2.22957456  0.
 -2.194518   17.44730158 55.70269281  3.0764083   2.80579503  0.
 -2.21940017 17.58789788 55.87068996  3.65424265  3.38201389  0.        ]"
532,532,5.0399999999999805,-244.7,-285.24147869674186,873.8999999999996,-2.1139604838061326,23.76824850154751,54.85316244233773,-1.2869688998925102,8.858979254846197,7.944084219572579,"[-2.07157758 23.41162145 54.5425566   2.38954784  2.17614508  0.
 -2.08992281 23.59078918 54.69650364  2.96496875  2.75246379  0.
 -2.11396048 23.7682485  54.85316244  3.5403858   3.32878752  0.        ]"
533,533,5.0399999999999805,-246.33333333333337,-285.16848030018764,873.8999999999996,-2.384948633180503,-8.129692246890581,56.52278750499894,-1.346731398589883,-5.753011008398765,8.947574497660051,"[-2.3352777  -7.90602144 56.16984651  2.21663898  2.43148729  0.
 -2.35852206 -8.01591205 56.34546156  2.79271366  3.00898889  0.
 -2.38494863 -8.12969225 56.5227875   3.36885633  3.58642595  0.        ]"
534,534,5.0399999999999805,-245.4,-285.0940074906367,873.8999999999996,-2.2227240267927275,19.94893243928591,55.56378847937462,-1.3014392698638138,3.5441671481846497,8.9244496573509,"[-2.17417878 19.80263161 55.21454735  2.3715006   2.50780884  0.
 -2.19692908 19.8773455  55.38753428  2.94650263  3.08592631  0.
 -2.22272403 19.94893244 55.56378848  3.52149605  3.66409097  0.        ]"
535,535,5.0399999999999805,-245.7,-285.02037383177577,873.8999999999996,-2.281677934827976,17.45922755353188,55.85576827486313,-1.323307346406318,6.991425030374916,8.518746915921513,"[-2.23597448 17.1782022  55.52225579  2.51046299  2.27922712  0.
 -2.25640447 17.31942372 55.6875156   3.08664383  2.85575228  0.
 -2.28167793 17.45922755 55.85576827  3.66276016  3.43227139  0.        ]"
536,536,5.0399999999999805,-247.0,-284.9494402985075,873.8999999999996,-2.311100415444223,3.6886951166590007,57.20001028006649,-1.293602507470922,-1.1956156264888922,9.537403842478026,"[-2.26012351  3.73514574 56.82609056  2.60302823  2.65662451  0.
 -2.28483361  3.71277767 57.01134708  3.18086646  3.23349246  0.
 -2.31110042  3.68869512 57.20001028  3.75872801  3.8103399   0.        ]"
537,537,5.0399999999999805,-246.59999999999997,-284.87802607076355,873.8999999999996,-2.316732602089718,-1.5061948158702072,56.77278938807981,-1.3233295209792852,-4.172353261642132,9.110817659712165,"[-2.2671209  -1.34441649 56.41445999  2.33432452  2.49560893  0.
 -2.2905396  -1.42363198 56.59244624  2.91071697  3.07174985  0.
 -2.3167326  -1.50619482 56.77278939  3.48711048  3.64788326  0.        ]"
538,538,5.0399999999999805,-246.7,-284.8070631970261,873.8999999999996,-2.151345408092179,10.918948176071995,56.85181156880627,-1.3148054069043416,2.235102086921508,9.30681048039846,"[-2.10455092 10.82532305 56.4863476   2.37504217  2.36169998  0.
 -2.12588494 10.87354868 56.6677207   2.95172244  2.93866188  0.
 -2.15134541 10.91894818 56.85181157  3.52838855  3.51559713  0.        ]"
539,539,5.0399999999999805,-244.83333333333337,-284.7329004329005,873.8999999999996,-2.4542063633858793,-16.104475736056173,54.997030612359474,-1.320778639378173,-9.469641543798598,8.165335592899655,"[ -2.40329747 -15.73069587  54.67594702   2.28547549   2.56265051
   0.          -2.42778929 -15.91594225  54.83551899   2.86236648
   3.13999148   0.          -2.45420636 -16.10447574  54.99703061
   3.43930785   3.71731505   0.        ]"
540,540,5.0399999999999805,-247.0,-284.66302469135815,873.8999999999996,-2.3569030864161045,4.404491284502011,57.16478996479958,-1.335781399452713,-0.34895950657790475,9.419747158663027,"[-2.3069813   4.41422256 56.79490789  2.4050468   2.49554516  0.
 -2.330464    4.4108338  56.97841683  2.98154306  3.07264478  0.
 -2.35690309  4.40449128 57.16478996  3.55809172  3.64974404  0.        ]"
541,541,5.0399999999999805,-246.8,-284.59303758471975,873.8999999999996,-2.2534017891945832,8.349139376893373,56.99190886122421,-1.3251024672713974,1.7289704068005396,9.344906730418693,"[-2.2050331   8.27597006 56.62513498  2.40469716  2.43147545  0.
 -2.22744302  8.31395422 56.80707174  2.9805836   3.00882036  0.
 -2.25340179  8.34913938 56.99190886  3.55638458  3.58614605  0.        ]"
542,542,5.0399999999999805,-247.0,-284.5236777367774,873.8999999999996,-2.22666167415704,1.0687784283612096,57.21627713970797,-1.3309674466109938,-0.6390153386950677,9.448343003614333,"[-2.17883197  1.08958582 56.84458181  2.35042003  2.37449908  0.
 -2.20080479  1.08072417 57.02921834  2.92687283  2.9510491   0.
 -2.22666167  1.06877843 57.21627714  3.50338761  3.5274925   0.        ]"
543,543,5.0399999999999805,-246.76666666666665,-284.4541436464089,873.8999999999996,-2.242856421657908,-1.929740559586322,56.93522392544246,-1.3197077398031627,-4.2735216735166475,9.081315525870286,"[-2.19430201 -1.76492095 56.57749642  2.25540782  2.43785895  0.
 -2.21695826 -1.84545167 56.75535444  2.83216726  3.01515807  0.
 -2.24285642 -1.92974056 56.93522393  3.40891862  3.59252468  0.        ]"
